Admin Region Name,Admin Region Code,Series Name,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
"Angola, Cunene",AGO_Cunene_AO.CU_404_AGO008,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Huambo",AGO_Huambo_AO.HM_405_AGO009,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Huila",AGO_Huila_AO.HL_406_AGO010,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Kuanza Norte",AGO_Cuanza_Norte_AO.KN_407_AGO019,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Leste",AGO_Leste_AGG646,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Luanda",AGO_Luanda_AO.LU_408_AGO011,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Lunda Norte",AGO_Lunda_Norte_AO.LN_409_AGO012,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Lunda Sul",AGO_Lunda_Sul_AO.LS_410_AGO013,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Malanje",AGO_Malanje_AO.ML_411_AGO014,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Moxico",AGO_Moxico_AO.MX_412_AGO015,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Namibe",AGO_Namibe_AO.NA_413_AGO016,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Oeste",AGO_Oeste_AGG640,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Regiao Nordeste",AGO_Nordeste_AGG645,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Regiao Norte",AGO_Norte_AGG642,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Sul",AGO_Sul_AGG643,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Uige",AGO_Uige_AO.UI_414_AGO017,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Angola, Zaire",AGO_Zaire_AO.ZA_415_AGO018,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Argentina,ARG,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Buenos Aires",ARG_Buenos_Aires_AR.BA_429_ARG001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Buenos Aires D.f.",ARG_Buenos_Aires_D.f._AR.BU_430_ARG025,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Catamarca",ARG_Catamarca_AR.CT_431_ARG002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Chaco",ARG_Chaco_AR.CC_432_ARG003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Chubut",ARG_Chubut_AR.CH_433_ARG004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Cordoba",ARG_Cordoba_AR.CB_434_ARG006,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Corrientes",ARG_Corrientes_AR.CN_435_ARG007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Entre Rios",ARG_Entre_Rios_AR.ER_436_ARG008,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Formosa",ARG_Formosa_AR.FM_437_ARG009,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Jujuy",ARG_Jujuy_AR.JY_438_ARG010,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, La Pampa",ARG_La_Pampa_AR.LP_439_ARG011,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, La Rioja",ARG_La_Rioja_AR.LR_440_ARG012,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Mendoza",ARG_Mendoza_AR.MZ_441_ARG013,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Misiones",ARG_Misiones_AR.MN_442_ARG014,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Neuquen",ARG_Neuquen_AR.NQ_443_ARG015,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Rio Negro",ARG_Rio_Negro_AR.RN_444_ARG016,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Salta",ARG_Salta_AR.SA_445_ARG017,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, San Juan",ARG_San_Juan_AR.SJ_446_ARG018,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, San Luis",ARG_San_Luis_AR.SL_447_ARG019,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Santa Cruz",ARG_Santa_Cruz_AR.SC_448_ARG020,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Santa Fe",ARG_Santa_Fe_AR.SF_449_ARG021,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Santiago Del Estero",ARG_Santiago_Del_Estero_AR.SE_450_ARG022,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Tierra Del Fuego",ARG_Tierra_Del_Fuego_AR.TF_451_ARG023,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Argentina, Tucuman",ARG_Tucuman_AR.TM_452_ARG024,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Armenia,ARM,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Armenia, Aragatsotn",ARM_Aragatsotn_AM.AG_453_ARM001,"Prevalence of severe wasting, weight for height (% of children under 5)",4,..,..,..,..
"Armenia, Ararat",ARM_Ararat_AM.AR_454_ARM002,"Prevalence of severe wasting, weight for height (% of children under 5)",6.9,..,..,..,..
"Armenia, Armavir",ARM_Armavir_AM.AV_455_ARM003,"Prevalence of severe wasting, weight for height (% of children under 5)",1.6,..,..,..,..
"Armenia, Gergharkunik",ARM_Gergharkunik_AM.GR_456_ARM004,"Prevalence of severe wasting, weight for height (% of children under 5)",4.9,..,..,..,..
"Armenia, Kotayk",ARM_Kotayk_AM.KT_457_ARM005,"Prevalence of severe wasting, weight for height (% of children under 5)",0,..,..,..,..
"Armenia, Lori",ARM_Lori_AM.LO_458_ARM006,"Prevalence of severe wasting, weight for height (% of children under 5)",2.4,..,..,..,..
"Armenia, Shirak",ARM_Shirak_AM.SH_460_ARM007,"Prevalence of severe wasting, weight for height (% of children under 5)",2.1,..,..,..,..
"Armenia, Syunik",ARM_Syunik_AM.SU_461_ARM008,"Prevalence of severe wasting, weight for height (% of children under 5)",0,..,..,..,..
"Armenia, Tavush",ARM_Tavush_AM.TV_462_ARM009,"Prevalence of severe wasting, weight for height (% of children under 5)",1,..,..,..,..
"Armenia, Vayots Dzor",ARM_Vayots_Dzor_AM.VD_463_ARM010,"Prevalence of severe wasting, weight for height (% of children under 5)",1.4,..,..,..,..
"Armenia, Yerevan",ARM_Yerevan_AM.ER_464_ARM011,"Prevalence of severe wasting, weight for height (% of children under 5)",1.1,..,..,..,..
Azerbaijan,AZE,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Azerbaijan, Absheron",AZE_Absheron_AZ.AP_147297_AZE007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,1.5,..
"Azerbaijan, Aran",AZE_Aran_AZ.AR_147298_AZE079,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0.4,..
"Azerbaijan, Baku",AZE_Baku_495,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0,..
"Azerbaijan, Daghlig Shirvan",AZE_Daghlig_Shirvan_AZ.DS_147299_AZE080,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,2,..
"Azerbaijan, Ganja-Gazakh",AZE_Ganja-Gazakh_AZ.GG_147300_AZE081,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,0.8,..
"Azerbaijan, Guba-Khachmaz",AZE_Guba-Khachmaz_AZ.GK_147301_AZE082,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,3.2,..
"Azerbaijan, IDPs or refugees",AZE_IDPs_or_refugees_MAL-001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Azerbaijan, Lankaran",AZE_Lankaran_AZ.LA_147303_AZE084,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Azerbaijan, Lenkeran",AZE_Lenkeran_536,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,1.7,..
"Azerbaijan, Resident children",AZE_Resident_children_MAL-002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Azerbaijan, Shaki-Zaqatala",AZE_Shaki-Zaqatala_AZ.SZ_147305_AZE086,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,3.8,..
"Azerbaijan, Yukhari Garabakh",AZE_Yukhari_Garabakh_AZ.GA_147306_AZE087,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,1.5,..
Bangladesh,BGD,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bangladesh, Barisal",BGD_Barisal_BD.BA_575_BGD001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,3.4,1.5,3.6,..
"Bangladesh, Chittagong",BGD_Chittagong_BD.CG_576_BGD002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,3.8,1.8,5.1,..
"Bangladesh, Dhaka",BGD_Dhaka_BD.DA_577_BGD003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,4.5,1.3,4.6,..
"Bangladesh, Khulna",BGD_Khulna_BD.KH_578_BGD004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,3.6,1.7,5.7,..
"Bangladesh, Rajshahi",BGD_Rajshahi_BD.RJ_61362_BGD005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,5.2,1.5,3.2,..
"Bangladesh, Rangpur",BGD_Rangpur_BD.RA_61363_BGD007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,2.9,1.4,6.1,..
"Bangladesh, Sylhet",BGD_Sylhet_BD.SY_580_BGD006,"Prevalence of severe wasting, weight for height (% of children under 5)",..,4.5,2.8,5.9,..
Belarus,BLR,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Belarus, Brest",BLR_Brest_BY.BR_593_BLR001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Belarus, Gomel",BLR_Gomel_BY.GO_594_BLR002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Belarus, Grodno",BLR_Grodno_BY.GR_595_BLR003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Belarus, Minsk",BLR_Minsk_BY.MI_596_BLR004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Belarus, Minsk City",BLR_Minsk_City_BY.MC_597_BLR007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Belarus, Mogilev",BLR_Mogilev_BY.MO_598_BLR005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Belarus, Vitebsk",BLR_Vitebsk_BY.VI_599_BLR006,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Belize,BLZ,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Belize, Belize",BLZ_Belize_BZ.BZ_603_BLZ001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Belize, Belize City South Side",BLZ_Belize_City_South_Side_MAL-003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Belize, Cayo",BLZ_Cayo_BZ.CY_604_BLZ002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,0.9,..,..,..
"Belize, Corozal",BLZ_Corozal_BZ.CZ_605_BLZ003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,0.3,..,..,..
"Belize, Excl. Belize City South Side",BLZ_Excl._Belize_City_South_Side_MAL-004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Belize, Orange Walk",BLZ_Orange_Walk_BZ.OW_606_BLZ004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,0.7,..,..,..
"Belize, Stann Creek",BLZ_Stann_Creek_BZ.SC_607_BLZ005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,1.6,..,..,..
"Belize, Toledo",BLZ_Toledo_BC.TO_608_BLZ006,"Prevalence of severe wasting, weight for height (% of children under 5)",..,1.2,..,..,..
Benin,BEN,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Alibori",BEN_Alibori_BJ.AL_609_BEN001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Atakora",BEN_Atakora_BJ.AT_610_BEN002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Atlantique",BEN_Atlantique_BJ.AQ_611_BEN003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Borgou",BEN_Borgou_BJ.BO_612_BEN004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Collines",BEN_Collines_BJ.CL_613_BEN005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Couffo",BEN_Couffo_BJ.CF_614_BEN006,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Donga",BEN_Donga_BJ.DO_615_BEN007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Littoral",BEN_Littoral_BJ.LI_616_BEN008,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Mono",BEN_Mono_BJ.MO_617_BEN009,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Oueme",BEN_Oueme_BJ.OU_618_BEN010,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Plateau",BEN_Plateau_BJ.PL_619_BEN011,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Benin, Zou",BEN_Zou_BJ.ZO_620_BEN012,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Bhutan,BTN,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bhutan, Bumthang",BTN_Bumthang_BT.BU_622_BTN001,"Prevalence of severe wasting, weight for height (% of children under 5)",2,..,..,..,..
"Bhutan, Central",BTN_Central_AGG183,"Prevalence of severe wasting, weight for height (% of children under 5)",1.9,..,..,..,..
"Bhutan, Chhukha",BTN_Chhukha_BT.CH_623_BTN002,"Prevalence of severe wasting, weight for height (% of children under 5)",2.2,..,..,..,..
"Bhutan, Dagana",BTN_Dagana_BT.DA_41308_BTN003,"Prevalence of severe wasting, weight for height (% of children under 5)",1.7,..,..,..,..
"Bhutan, Eastern",BTN_Eastern_AGG206,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bhutan, Gasa",BTN_Gasa_BT.GA_625_BTN004,"Prevalence of severe wasting, weight for height (% of children under 5)",0,..,..,..,..
"Bhutan, Haa",BTN_Haa_BT.HA_41309_BTN005,"Prevalence of severe wasting, weight for height (% of children under 5)",0.4,..,..,..,..
"Bhutan, Lhuentse",BTN_Lhuentse_BT.LH_627_BTN006,"Prevalence of severe wasting, weight for height (% of children under 5)",0.9,..,..,..,..
"Bhutan, Mongar",BTN_Mongar_BT.MO_628_BTN007,"Prevalence of severe wasting, weight for height (% of children under 5)",2,..,..,..,..
"Bhutan, Paro",BTN_Paro_BT.PR_629_BTN008,"Prevalence of severe wasting, weight for height (% of children under 5)",2.1,..,..,..,..
"Bhutan, Pemagatshel",BTN_Pemagatshel_BT.PM_41310_BTN009,"Prevalence of severe wasting, weight for height (% of children under 5)",0.2,..,..,..,..
"Bhutan, Punakha",BTN_Punakha_BT.PU_631_BTN010,"Prevalence of severe wasting, weight for height (% of children under 5)",2.2,..,..,..,..
"Bhutan, Samdrup Jongkhar",BTN_Samdrup_Jongkhar_BT.SJ_41311_BTN011,"Prevalence of severe wasting, weight for height (% of children under 5)",2.1,..,..,..,..
"Bhutan, Samtse",BTN_Samtse_BT.SM_41312_BTN012,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bhutan, Sarpang",BTN_Sarpang_BT.SA_41313_BTN013,"Prevalence of severe wasting, weight for height (% of children under 5)",1.8,..,..,..,..
"Bhutan, Thimphu",BTN_Thimphu_BT.TM_635_BTN014,"Prevalence of severe wasting, weight for height (% of children under 5)",2.9,..,..,..,..
"Bhutan, Trashigang",BTN_Trashigang_BT.TG_637_BTN016,"Prevalence of severe wasting, weight for height (% of children under 5)",2.9,..,..,..,..
"Bhutan, Trashiyangtse",BTN_Trashiyangtse_BT.TR_636_BTN015,"Prevalence of severe wasting, weight for height (% of children under 5)",2.8,..,..,..,..
"Bhutan, Trongsa",BTN_Trongsa_BT.TO_638_BTN017,"Prevalence of severe wasting, weight for height (% of children under 5)",0.7,..,..,..,..
"Bhutan, Tsirang",BTN_Tsirang_BT.CR_639_BTN018,"Prevalence of severe wasting, weight for height (% of children under 5)",2.3,..,..,..,..
"Bhutan, Wangduephodrang",BTN_Wangduephodrang_BT.WA_640_BTN019,"Prevalence of severe wasting, weight for height (% of children under 5)",1.8,..,..,..,..
"Bhutan, Western",BTN_Western_AGG184,"Prevalence of severe wasting, weight for height (% of children under 5)",2.1,..,..,..,..
"Bhutan, Zhemgang",BTN_Zhemgang_BT.SG_41314_BTN020,"Prevalence of severe wasting, weight for height (% of children under 5)",3.3,..,..,..,..
Bolivia,BOL,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, Altiplano region",BOL_Altiplano_Region_AGG_MAL_Survey_050,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, Beni",BOL_Beni_BO.BE_40443_BOL001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, Chuquisaca",BOL_Chuquisaca_BO.CH_40444_BOL002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, Cochabamba",BOL_Cochabamba_BO.CO_40445_BOL003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, La Paz",BOL_La_Paz_BO.LP_40446_BOL004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, Llano region",BOL_Llano_Region_AGG_MAL_Survey_051,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, Oruro",BOL_Oruro_BO.OR_40447_BOL005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, Pando",BOL_Pando_BO.PA_648_BOL006,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, Potosi",BOL_Potosi_BO.PO_40448_BOL007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, Santa Cruz",BOL_Santa_Cruz_BO.SC_40449_BOL008,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, Tarija",BOL_Tarija_BO.TA_40450_BOL009,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bolivia, Valle region",BOL_Valley_Region_AGG_MAL_Survey_052,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Bosnia and Herzegovina,BIH,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Bosnia and Herzegovina, Brcko",BIH_Brcko_6262,"Prevalence of severe wasting, weight for height (% of children under 5)",..,0,..,..,..
"Bosnia and Herzegovina, Federacija Bosne I Hercegovine",BIH_Federacija_BosneIHercegovine_BA.FE_652_BIH001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,2,..,..,..
"Bosnia and Herzegovina, Republika Srpska",BIH_Republika_Srpska_BA.RE_653_BIH002,"Prevalence of severe wasting, weight for height (% of children under 5)",..,0.6,..,..,..
Botswana,BWA,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, Central",BWA_Central_BW.CE_654_BWA001,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, Francistown",BWA_Francistown_BW.FR_663.55_BWA011,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, Gaborone",BWA_Gaborone_BW.GA_663.66_BWA012,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, Ghanzi",BWA_Ghanzi_BW.GH_656_BWA003,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, Kgalagadi",BWA_Kgalagadi_BW.KG_657_BWA004,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, Kgatleng",BWA_Kgatleng_BW.KL_658_BWA005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, Kweneng",BWA_Kweneng_BW.KW_659_BWA006,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, North East",BWA_North_East_BW.NE_661_BWA008,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, North-West",BWA_North-West_BW.NG_660_BWA007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, Selibe-Phikwe",BWA_Selibe-Phikwe_BW.SP_663.77_BWA013,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, Small towns",BWA_Small_towns_MAL-005,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, South-East",BWA_South-East_BW.SE_662_BWA009,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, Southern",BWA_Southern_BW.SO_663_BWA010,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Botswana, Urban villages",BWA_Urban_villages_MAL-006,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
Brazil,BRA,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Brazil, Central-West",BRA_Central-West_AGG357,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,3.1
"Brazil, Centro Leste",BRA_Centro_Leste_MAL-007,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Brazil, North",BRA_North_AGG355,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,2.7
"Brazil, Northeast",BRA_Northeast_AGG356,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,3
"Brazil, Rio De Janeiro",BRA_Rio_De_Janeiro_BR.PJ_683_BRA019,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Brazil, Sao Paulo",BRA_Sao_Paulo_BR.SP_689_BRA025,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Brazil, SISVAN (30% coverage)",BRA_SISVAN_MAL-008,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Brazil, SISVAN 30% coverage",BRA_SISVAN_30_Percent_coverage_2014,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,..
"Brazil, South",BRA_South_AGG359,"Prevalence of severe wasting, weight for height (% of children under 5)",..,..,..,..,1.5
