Country Name,Country Code,Series Name,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Bahrain,BHR,Agriculture value added per worker (constant 2010 US$),19135.6383,19441.48936,19847.07447,20166.2234,21017.28723,27765.95745
Bahrain,BHR,Employment in agriculture (% of total employment),1.100000024,..,..,..,..,..
Bangladesh,BGD,Agriculture value added per worker (constant 2010 US$),610.5546702,640.2364267,662.2480028,681.6110423,715.0187774,743.1292521
Bangladesh,BGD,Employment in agriculture (% of total employment),47.5,..,..,..,..,..
Barbados,BRB,Agriculture value added per worker (constant 2010 US$),15125,..,..,..,..,..
Barbados,BRB,Employment in agriculture (% of total employment),2.799999952,3.299999952,2.799999952,2.700000048,..,..
Belarus,BLR,Agriculture value added per worker (constant 2010 US$),11741.86821,13036.2114,14459.39054,14468.71365,15558.08087,15814.49155
Belarus,BLR,Employment in agriculture (% of total employment),10.5,10.39999962,10.10000038,9.600000381,..,..
Belgium,BEL,Agriculture value added per worker (constant 2010 US$),62498.59692,65225.83014,67086.54305,61462.84643,64998.57161,66040.84503
Belgium,BEL,Employment in agriculture (% of total employment),1.299999952,1.200000048,1.100000024,1.299999952,1.100000024,..
Belize,BLZ,Agriculture value added per worker (constant 2010 US$),5181.337097,4956.312326,5129.138769,5253.151442,5389.531975,4543.139887
Belize,BLZ,Employment in agriculture (% of total employment),..,..,..,..,..,..
Benin,BEN,Agriculture value added per worker (constant 2010 US$),989.8624203,1000.352523,1024.097651,1069.949456,1115.870524,1150.803574
Benin,BEN,Employment in agriculture (% of total employment),45.09999847,..,..,..,..,..
Bermuda,BMU,Agriculture value added per worker (constant 2010 US$),42971,41236.76451,38253.66415,..,..,..
Bermuda,BMU,Employment in agriculture (% of total employment),1.399999976,1.700000048,1.700000048,1.600000024,..,..
Bhutan,BTN,Agriculture value added per worker (constant 2010 US$),856.3438944,852.3457661,847.6488813,844.9189427,844.8832783,838.918414
Bhutan,BTN,Employment in agriculture (% of total employment),59.5,60.09999847,62.20000076,56.29999924,..,..
Bolivia,BOL,Agriculture value added per worker (constant 2010 US$),1034.758283,1044.670248,1065.792101,1093.911547,1113.399782,..
Bolivia,BOL,Employment in agriculture (% of total employment),..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Agriculture value added per worker (constant 2010 US$),26493.4933,28381.07444,27883.71062,35127.07262,33643.99274,38793.99839
Bosnia and Herzegovina,BIH,Employment in agriculture (% of total employment),..,..,..,..,..,..
Botswana,BWA,Agriculture value added per worker (constant 2010 US$),1003.58609,989.7319607,894.1805033,895.0642021,881.2627774,876.2260863
Botswana,BWA,Employment in agriculture (% of total employment),26.39999962,..,..,..,..,..
Brazil,BRA,Agriculture value added per worker (constant 2010 US$),8228.054854,8922.867652,8883.075957,9893.138839,10386.30119,10882.8373
Brazil,BRA,Employment in agriculture (% of total employment),..,15.69999981,14.60000038,14.5,..,..
British Virgin Islands,VGB,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
British Virgin Islands,VGB,Employment in agriculture (% of total employment),0.5,..,..,..,..,..
Brunei Darussalam,BRN,Agriculture value added per worker (constant 2010 US$),93995.59956,98286.86809,..,..,..,..
Brunei Darussalam,BRN,Employment in agriculture (% of total employment),..,..,..,..,0.600000024,..
Bulgaria,BGR,Agriculture value added per worker (constant 2010 US$),17280.45564,18330.80441,18269.9653,20166.3869,22806.65977,24305.71778
Bulgaria,BGR,Employment in agriculture (% of total employment),6.699999809,6.599999905,6.300000191,6.5,6.900000095,..
Burkina Faso,BFA,Agriculture value added per worker (constant 2010 US$),422.9416987,395.7644798,412.4792594,412.4594242,406.6123891,388.7064146
Burkina Faso,BFA,Employment in agriculture (% of total employment),..,..,..,..,..,..
Burundi,BDI,Agriculture value added per worker (constant 2010 US$),200.2964364,205.6234742,214.0926568,214.0141838,219.2101577,231.3669613
Burundi,BDI,Employment in agriculture (% of total employment),..,..,..,..,..,..
Cabo Verde,CPV,Agriculture value added per worker (constant 2010 US$),4155.460144,4337.544085,4906.388542,4847.040404,4720.97267,..
Cabo Verde,CPV,Employment in agriculture (% of total employment),..,..,..,..,..,..
Cambodia,KHM,Agriculture value added per worker (constant 2010 US$),766.9169259,780.3297104,804.3324974,808.5159466,802.9875779,797.7056505
Cambodia,KHM,Employment in agriculture (% of total employment),54.09999847,..,..,..,..,..
Cameroon,CMR,Agriculture value added per worker (constant 2010 US$),1434.053211,1477.338203,1516.099261,1571.518333,1646.054778,1786.825195
Cameroon,CMR,Employment in agriculture (% of total employment),..,..,..,..,..,..
Canada,CAN,Agriculture value added per worker (constant 2010 US$),64714.30276,68638.9268,70652.50952,82469.11737,78278.18544,82512.2345
Canada,CAN,Employment in agriculture (% of total employment),2.200000048,2.200000048,2.099999905,2.200000048,2.099999905,..
Caribbean small states,CSS,Agriculture value added per worker (constant 2010 US$),4950.137268,5105.38505,5334.948792,5177.134664,5385.097654,4416.828909
Caribbean small states,CSS,Employment in agriculture (% of total employment),..,..,..,..,..,..
Cayman Islands,CYM,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Cayman Islands,CYM,Employment in agriculture (% of total employment),0.600000024,0.400000006,0.699999988,0.800000012,..,..
Central African Republic,CAF,Agriculture value added per worker (constant 2010 US$),796.4466803,853.0236695,864.4158661,474.6347035,447.2471332,458.3720211
Central African Republic,CAF,Employment in agriculture (% of total employment),..,..,..,..,..,..
Central Europe and the Baltics,CEB,Agriculture value added per worker (constant 2010 US$),7537.933508,8342.442327,7595.850974,8846.779196,9606.59989,9057.337867
Central Europe and the Baltics,CEB,Employment in agriculture (% of total employment),12.54615615,12.10764201,12.09365332,11.7482027,11.36711403,..
Chad,TCD,Agriculture value added per worker (constant 2010 US$),1869.078764,1706.091441,1885.267846,1825.925446,1922.710878,2096.595409
Chad,TCD,Employment in agriculture (% of total employment),..,..,..,..,..,..
Channel Islands,CHI,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Channel Islands,CHI,Employment in agriculture (% of total employment),..,..,..,..,..,..
Chile,CHL,Agriculture value added per worker (constant 2010 US$),7195.221019,8067.328037,7926.075297,7966.976981,7763.03563,8144.776171
Chile,CHL,Employment in agriculture (% of total employment),11.10000038,10.39999962,10.39999962,9.199999809,..,..
China,CHN,Agriculture value added per worker (constant 2010 US$),1160.298689,1214.087425,1275.308086,1332.56293,1397.391219,1464.936453
China,CHN,Employment in agriculture (% of total employment),2.900000095,2.5,..,..,..,..
Colombia,COL,Agriculture value added per worker (constant 2010 US$),5288.167819,5428.626863,5604.777607,6018.359512,6262.182299,6536.490405
Colombia,COL,Employment in agriculture (% of total employment),18.5,18.20000076,17.5,16.89999962,16.29999924,..
Comoros,COM,Agriculture value added per worker (constant 2010 US$),945.6648525,958.5308717,972.245237,986.8046089,981.9909284,..
Comoros,COM,Employment in agriculture (% of total employment),..,..,..,..,..,..
"Congo, Dem. Rep.",ZAR,Agriculture value added per worker (constant 2010 US$),322.1933705,326.2598797,330.4728603,335.3387379,340.2148029,349.9307169
"Congo, Dem. Rep.",ZAR,Employment in agriculture (% of total employment),..,..,..,..,..,..
"Congo, Rep.",COG,Agriculture value added per worker (constant 2010 US$),877.7670421,947.7940017,998.5812509,1074.265079,1158.757674,1217.18001
"Congo, Rep.",COG,Employment in agriculture (% of total employment),..,..,..,..,..,..
Costa Rica,CRI,Agriculture value added per worker (constant 2010 US$),7382.468273,7497.07506,7924.044683,7977.97037,8355.646215,..
Costa Rica,CRI,Employment in agriculture (% of total employment),15,14.10000038,13.39999962,12.69999981,..,..
Cote d'Ivoire,CIV,Agriculture value added per worker (constant 2010 US$),2169.163694,2326.040771,2265.037202,2420.635642,2696.807443,2795.88162
Cote d'Ivoire,CIV,Employment in agriculture (% of total employment),..,..,..,..,..,..
Croatia,HRV,Agriculture value added per worker (constant 2010 US$),29577.77903,30248.58958,27937.22097,29813.78729,32165.63717,34196.79747
Croatia,HRV,Employment in agriculture (% of total employment),12.5,12.80000019,10.60000038,9.5,8.699999809,..
Cuba,CUB,Agriculture value added per worker (constant 2010 US$),4536.317065,4734.530663,5003.23488,5234.64435,..,..
Cuba,CUB,Employment in agriculture (% of total employment),18.5,19.70000076,19.29999924,18.60000038,..,..
Curacao,CUW,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Curacao,CUW,Employment in agriculture (% of total employment),..,..,..,..,..,..
Cyprus,CYP,Agriculture value added per worker (constant 2010 US$),17281.9733,19022.95452,19599.08398,20126.3796,19594.99202,..
Cyprus,CYP,Employment in agriculture (% of total employment),2.799999952,2.900000095,2.299999952,2.5,3.900000095,..
Czech Republic,CZE,Agriculture value added per worker (constant 2010 US$),9642.211458,10248.20379,10854.25062,10946.88478,11956.4713,12386.45763
Czech Republic,CZE,Employment in agriculture (% of total employment),3.099999905,3,3,3,2.700000048,..
Denmark,DNK,Agriculture value added per worker (constant 2010 US$),51601.73776,48232.40854,55422.20089,47062.91979,57032.03111,62599.08111
Denmark,DNK,Employment in agriculture (% of total employment),2.299999952,2.200000048,2.400000095,2.299999952,2.299999952,..
Djibouti,DJI,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Djibouti,DJI,Employment in agriculture (% of total employment),..,..,..,..,..,..
Dominica,DMA,Agriculture value added per worker (constant 2010 US$),9437.271605,10127.11443,10919.34957,11418.99649,11380.99404,10145.64773
Dominica,DMA,Employment in agriculture (% of total employment),..,..,..,..,..,..
Dominican Republic,DOM,Agriculture value added per worker (constant 2010 US$),7100.790894,7728.822786,8119.169913,8600.070189,9171.562962,9504.038972
Dominican Republic,DOM,Employment in agriculture (% of total employment),12,14.69999981,14.19999981,14.19999981,14.5,..
Early-demographic dividend,EAR,Agriculture value added per worker (constant 2010 US$),1606.387402,1625.977052,1650.586082,1701.510445,1680.242592,..
Early-demographic dividend,EAR,Employment in agriculture (% of total employment),40.98926824,..,36.06807234,40.95772438,..,..
East Asia & Pacific,EAS,Agriculture value added per worker (constant 2010 US$),1479.048328,1543.473973,1608.906484,1670.791955,1738.370738,1663.587935
East Asia & Pacific,EAS,Employment in agriculture (% of total employment),9.767274088,9.185155358,..,..,..,..
East Asia & Pacific (excluding high income),EAP,Agriculture value added per worker (constant 2010 US$),1287.821052,1346.897605,1409.766457,1467.060679,1532.367682,1579.093484
East Asia & Pacific (excluding high income),EAP,Employment in agriculture (% of total employment),10.31523031,9.339025242,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,Agriculture value added per worker (constant 2010 US$),1287.821052,1346.897605,1409.766457,1467.060679,1532.367682,1579.093484
East Asia & Pacific (IDA & IBRD countries),TEA,Employment in agriculture (% of total employment),10.31523031,9.339025242,..,..,..,..
Ecuador,ECU,Agriculture value added per worker (constant 2010 US$),5512.952769,5970.197469,6041.16817,6443.964641,6649.57209,6884.833183
Ecuador,ECU,Employment in agriculture (% of total employment),28.20000076,28.29999924,27.79999924,25.29999924,..,..
"Egypt, Arab Rep.",EGY,Agriculture value added per worker (constant 2010 US$),4411.082205,4545.569637,4699.635755,4868.900965,5049.298862,5241.308147
"Egypt, Arab Rep.",EGY,Employment in agriculture (% of total employment),28.20000076,29.20000076,27.10000038,28,..,..
El Salvador,SLV,Agriculture value added per worker (constant 2010 US$),4199.830508,4145.605279,4333.507962,4359.684121,4463.925389,4546.826007
El Salvador,SLV,Employment in agriculture (% of total employment),20.79999924,21.60000038,21,19.60000038,..,..
Equatorial Guinea,GNQ,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Equatorial Guinea,GNQ,Employment in agriculture (% of total employment),..,..,..,..,..,..
Eritrea,ERI,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Eritrea,ERI,Employment in agriculture (% of total employment),..,..,..,..,..,..
Estonia,EST,Agriculture value added per worker (constant 2010 US$),8925.415264,10285.20971,12250.74218,11634.71593,12449.85809,14727.74099
Estonia,EST,Employment in agriculture (% of total employment),4,4.199999809,4.400000095,4.300000191,3.900000095,..
Ethiopia,ETH,Agriculture value added per worker (constant 2010 US$),391.9071365,417.4014044,428.1809909,448.7318938,463.4173819,483.3520254
Ethiopia,ETH,Employment in agriculture (% of total employment),..,9.5,8.199999809,72.69999695,..,..
Euro area,EMU,Agriculture value added per worker (constant 2010 US$),34226.7763,36079.64445,36031.5348,38710.58803,41890.31728,45037.56774
Euro area,EMU,Employment in agriculture (% of total employment),3.348151648,3.234387834,3.215813593,3.171758708,3.147562479,..
Europe & Central Asia,ECS,Agriculture value added per worker (constant 2010 US$),11238.87421,12277.57387,12180.27201,13021.49923,14025.78064,14561.22498
Europe & Central Asia,ECS,Employment in agriculture (% of total employment),7.940684098,8.568644273,8.56313579,8.430288909,7.04422464,..
Europe & Central Asia (excluding high income),ECA,Agriculture value added per worker (constant 2010 US$),6321.952545,7159.95378,7177.240175,7814.467094,8246.720195,8708.262228
Europe & Central Asia (excluding high income),ECA,Employment in agriculture (% of total employment),14.99506581,15.53906588,15.37777227,15.16939517,12.69424225,..
Europe & Central Asia (IDA & IBRD countries),TEC,Agriculture value added per worker (constant 2010 US$),6174.515907,6943.592605,6921.345368,7546.453626,7949.424934,8374.505494
Europe & Central Asia (IDA & IBRD countries),TEC,Employment in agriculture (% of total employment),14.69594131,15.20897932,15.03432033,14.7941818,12.49502336,..
European Union,EUU,Agriculture value added per worker (constant 2010 US$),22842.78392,24268.47739,23805.21136,25673.9854,27890.46703,29522.66396
European Union,EUU,Employment in agriculture (% of total employment),4.801099214,4.627032899,4.608877667,4.490464113,4.417504565,..
Faroe Islands,FRO,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Faroe Islands,FRO,Employment in agriculture (% of total employment),..,..,..,..,..,..
Fiji,FJI,Agriculture value added per worker (constant 2010 US$),2338.40727,2693.078353,2619.98063,2796.635998,2765.286742,2906.025928
Fiji,FJI,Employment in agriculture (% of total employment),..,..,..,..,..,..
Finland,FIN,Agriculture value added per worker (constant 2010 US$),60386.53872,65703.81851,66916.85063,75850.91637,79664.02843,83664.45916
Finland,FIN,Employment in agriculture (% of total employment),4.099999905,4,3.799999952,3.799999952,3.900000095,..
Fragile and conflict affected situations,FCS,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Fragile and conflict affected situations,FCS,Employment in agriculture (% of total employment),..,..,..,..,..,..
France,FRA,Agriculture value added per worker (constant 2010 US$),74181.43153,80882.03188,77603.15843,79962.5393,94951.7342,95420.28643
France,FRA,Employment in agriculture (% of total employment),2.900000095,2.799999952,2.799999952,3,2.799999952,..
French Polynesia,PYF,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
French Polynesia,PYF,Employment in agriculture (% of total employment),2.700000048,2.799999952,..,..,..,..
Gabon,GAB,Agriculture value added per worker (constant 2010 US$),3071.367418,3123.4368,3252.373141,3363.453755,3669.682402,3949.104141
Gabon,GAB,Employment in agriculture (% of total employment),..,..,..,..,..,..
"Gambia, The",GMB,Agriculture value added per worker (constant 2010 US$),455.5008066,335.7741406,346.5963811,331.2034327,298.5860298,..
"Gambia, The",GMB,Employment in agriculture (% of total employment),..,..,..,..,31.5,..
Georgia,GEO,Agriculture value added per worker (constant 2010 US$),2393.049862,2664.54065,2632.858402,3011.814221,3157.75863,3345.551695
Georgia,GEO,Employment in agriculture (% of total employment),..,..,..,..,..,..
Germany,DEU,Agriculture value added per worker (constant 2010 US$),33463.24553,31386.87233,34793.8029,38051.94536,42822.78146,43326.62656
Germany,DEU,Employment in agriculture (% of total employment),1.5,1.5,1.399999976,1.299999952,1.299999952,..
Ghana,GHA,Agriculture value added per worker (constant 2010 US$),1485.004161,1459.607661,1455.608357,1499.790557,1530.775183,1529.759262
Ghana,GHA,Employment in agriculture (% of total employment),41.5,..,..,44.70000076,..,..
Gibraltar,GIB,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Gibraltar,GIB,Employment in agriculture (% of total employment),..,..,..,..,..,..
Greece,GRC,Agriculture value added per worker (constant 2010 US$),13554.46495,13690.52261,15697.29432,15756.93663,18100.91858,18326.82885
Greece,GRC,Employment in agriculture (% of total employment),11.69999981,11.69999981,12.5,13.30000019,13,..
Greenland,GRL,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Greenland,GRL,Employment in agriculture (% of total employment),..,4.599999905,..,..,..,..
Grenada,GRD,Agriculture value added per worker (constant 2010 US$),3866.366255,3805.801859,3963.281014,4296.301756,5956.832354,6880.934357
Grenada,GRD,Employment in agriculture (% of total employment),..,..,..,..,..,..
Guam,GUM,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Guam,GUM,Employment in agriculture (% of total employment),0.300000012,..,..,..,..,..
Guatemala,GTM,Agriculture value added per worker (constant 2010 US$),2217.201397,2282.098043,2344.650363,2402.223892,2422.131987,2443.306732
Guatemala,GTM,Employment in agriculture (% of total employment),..,37.59999847,32.29999924,32.70000076,..,..
Guinea,GIN,Agriculture value added per worker (constant 2010 US$),250.2272532,256.5239824,261.8526842,274.8868636,274.2030406,269.5280119
Guinea,GIN,Employment in agriculture (% of total employment),74.30000305,74.80000305,74.80000305,..,..,..
Guinea-Bissau,GNB,Agriculture value added per worker (constant 2010 US$),850.5216869,908.3317788,891.3801013,879.4195244,893.2682625,..
Guinea-Bissau,GNB,Employment in agriculture (% of total employment),..,..,..,..,..,..
Guyana,GUY,Agriculture value added per worker (constant 2010 US$),7197.359207,7539.083829,7814.287736,7996.061073,8623.005155,8718.618277
Guyana,GUY,Employment in agriculture (% of total employment),..,..,..,..,..,..
Haiti,HTI,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Haiti,HTI,Employment in agriculture (% of total employment),..,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,Agriculture value added per worker (constant 2010 US$),676.2077798,680.6769236,699.9439832,705.1864111,721.2442837,730.7463928
Heavily indebted poor countries (HIPC),HPC,Employment in agriculture (% of total employment),..,..,..,..,..,..
High income,HIC,Agriculture value added per worker (constant 2010 US$),31897.46953,33028.3676,32815.43001,36201.11491,38321.39681,31325.35787
High income,HIC,Employment in agriculture (% of total employment),3.368121432,..,3.897409032,3.817057716,..,..
Honduras,HND,Agriculture value added per worker (constant 2010 US$),2760.862177,2948.752483,3268.691786,3386.252323,3488.897564,3613.757441
Honduras,HND,Employment in agriculture (% of total employment),37.5,36.59999847,38.20000076,35.79999924,..,..
"Hong Kong SAR, China",HKG,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
"Hong Kong SAR, China",HKG,Employment in agriculture (% of total employment),..,..,..,..,..,..
Hungary,HUN,Agriculture value added per worker (constant 2010 US$),12157.32321,14568.03259,11935.92239,14340.69714,16922.23806,..
Hungary,HUN,Employment in agriculture (% of total employment),4.5,4.900000095,5,4.699999809,4.599999905,..
IBRD only,IBD,Agriculture value added per worker (constant 2010 US$),1698.119636,1767.22304,1804.515028,1889.276815,1918.365024,..
IBRD only,IBD,Employment in agriculture (% of total employment),21.69362936,11.48999072,..,..,..,..
Iceland,ISL,Agriculture value added per worker (constant 2010 US$),73101.53449,82881.79605,86424.0567,89280.19139,..,..
Iceland,ISL,Employment in agriculture (% of total employment),5.400000095,5.300000191,5.5,4.199999809,4.199999809,..
IDA & IBRD total,IBT,Agriculture value added per worker (constant 2010 US$),1531.678847,1584.508791,1618.559662,1682.905631,1708.923424,1875.198203
IDA & IBRD total,IBT,Employment in agriculture (% of total employment),23.89585896,..,..,..,..,..
IDA blend,IDB,Agriculture value added per worker (constant 2010 US$),2067.571422,2106.70728,2195.336924,2245.477386,2327.543138,2426.049107
IDA blend,IDB,Employment in agriculture (% of total employment),..,..,..,..,..,..
IDA only,IDX,Agriculture value added per worker (constant 2010 US$),654.6554986,662.51264,680.7957157,688.6064154,700.8960861,713.2457251
IDA only,IDX,Employment in agriculture (% of total employment),..,..,..,..,..,..
IDA total,IDA,Agriculture value added per worker (constant 2010 US$),1031.054787,1044.844929,1079.072157,1095.071966,1121.803576,1152.610445
IDA total,IDA,Employment in agriculture (% of total employment),..,..,..,..,..,..
India,IND,Agriculture value added per worker (constant 2010 US$),1073.793004,1077.97985,1082.570022,1116.342503,1102.73305,..
India,IND,Employment in agriculture (% of total employment),51.09999847,..,47.09999847,49.70000076,..,..
Indonesia,IDN,Agriculture value added per worker (constant 2010 US$),2124.263756,2209.178294,2312.698941,2413.397209,2520.645714,2628.626843
Indonesia,IDN,Employment in agriculture (% of total employment),38.29999924,36.20000076,35.29999924,34.79999924,34.29999924,..
"Iran, Islamic Rep.",IRN,Agriculture value added per worker (constant 2010 US$),4838.499758,4827.396259,5008.989593,5256.080731,5479.456104,..
"Iran, Islamic Rep.",IRN,Employment in agriculture (% of total employment),19.20000076,..,..,..,17.89999962,..
Iraq,IRQ,Agriculture value added per worker (constant 2010 US$),16400.51831,19335.20265,18212.95807,20676.16015,19182.17266,..
Iraq,IRQ,Employment in agriculture (% of total employment),..,..,..,..,..,..
Ireland,IRL,Agriculture value added per worker (constant 2010 US$),14160.75381,16635.80786,15806.07419,16222.80889,20252.82041,22037.42117
Ireland,IRL,Employment in agriculture (% of total employment),4.800000191,5,5.099999905,6,6.099999905,..
Isle of Man,IMY,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Isle of Man,IMY,Employment in agriculture (% of total employment),..,..,..,..,..,..
Israel,ISR,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Israel,ISR,Employment in agriculture (% of total employment),1.600000024,1.399999976,1.200000048,1.200000048,1.100000024,..
Italy,ITA,Agriculture value added per worker (constant 2010 US$),44541.97343,47413.43806,48274.04145,51265.57994,52477.03443,57151.82277
Italy,ITA,Employment in agriculture (% of total employment),3.599999905,3.5,3.5,3.400000095,3.5,..
Jamaica,JAM,Agriculture value added per worker (constant 2010 US$),3248.24646,3617.220027,3736.641564,3764.543316,3784.605807,3837.823681
Jamaica,JAM,Employment in agriculture (% of total employment),20.20000076,17.60000038,18.10000038,18.20000076,..,..
Japan,JPN,Agriculture value added per worker (constant 2010 US$),45436.76189,49595.3217,53378.99204,58270.6015,60937.38294,..
Japan,JPN,Employment in agriculture (% of total employment),4,..,3.799999952,3.700000048,..,..
Jordan,JOR,Agriculture value added per worker (constant 2010 US$),6929.267359,7330.891551,6766.178702,6709.720175,7353.815808,7945.747297
Jordan,JOR,Employment in agriculture (% of total employment),2,1.700000048,2,2,1.799999952,..
Kazakhstan,KAZ,Agriculture value added per worker (constant 2010 US$),5602.111073,7152.676753,5973.869082,6729.364047,6906.698756,7298.908059
Kazakhstan,KAZ,Employment in agriculture (% of total employment),28.29999924,26.5,25.5,24.20000076,..,..
Kenya,KEN,Agriculture value added per worker (constant 2010 US$),751.2523804,753.7085437,759.9673363,784.3763942,794.225049,820.6922916
Kenya,KEN,Employment in agriculture (% of total employment),..,..,..,..,..,..
Kiribati,KIR,Agriculture value added per worker (constant 2010 US$),3277.972349,3642.191499,3642.191499,3733.246286,..,..
Kiribati,KIR,Employment in agriculture (% of total employment),22.10000038,..,..,..,..,..
"Korea, Dem. People?s Rep.",PRK,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
"Korea, Dem. People?s Rep.",PRK,Employment in agriculture (% of total employment),..,..,..,..,..,..
"Korea, Rep.",KOR,Agriculture value added per worker (constant 2010 US$),19213.05188,19982.6529,21019.19359,22989.30457,25311.08253,26500.49649
"Korea, Rep.",KOR,Employment in agriculture (% of total employment),6.599999905,6.400000095,6.199999809,6.099999905,..,..
Kosovo,KSV,Agriculture value added per worker (constant 2010 US$),..,..,..,..,..,..
Kosovo,KSV,Employment in agriculture (% of total employment),..,..,4.599999905,..,..,..
Kuwait,KWT,Agriculture value added per worker (constant 2010 US$),37234.57282,41321.9021,38078.62294,38381.01884,41404.9779,..
Kuwait,KWT,Employment in agriculture (% of total employment),..,..,..,..,1.200000048,..
Kyrgyz Republic,KGZ,Agriculture value added per worker (constant 2010 US$),1640.629622,1680.783035,1711.850774,2011.068887,2016.142633,2158.273317
Kyrgyz Republic,KGZ,Employment in agriculture (% of total employment),..,..,30.10000038,31.70000076,..,..
Lao PDR,LAO,Agriculture value added per worker (constant 2010 US$),937.2661711,920.0785111,924.0680365,957.8043279,1013.955509,1000.527305
Lao PDR,LAO,Employment in agriculture (% of total employment),71.30000305,..,..,..,..,..
Late-demographic dividend,LTE,Agriculture value added per worker (constant 2010 US$),1546.346378,1637.962163,1681.198768,1772.191121,1842.597312,1894.90554
Late-demographic dividend,LTE,Employment in agriculture (% of total employment),6.841605645,7.391427347,..,..,..,..
